Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Elsevier_Pathway_Collection__Proteins Involved in HIV Type 1 Infection,-0.5989217578285618,-2.2679730111921623,0.0,0.0030580887270646056,0.016,42/79,17.22%,TAC1;CLEC4M;CR2;IL10;IFNG;CD4;TNF;IL1B;CD8A;CCL5;IL7R;FASLG;FPR2;CCR5;CCL4;CCL3;CD38;CXCR6;TNFSF10;IL15;CTLA4;CXCL12;CCL2;IL6;CD40LG;ABCB1;CCR2;LCK;TLR4;CCL22;CD207;TLR2;SFTPD;IL16;CAMP;PTN;CSF2;CXCR4;PLAUR;LILRB2;THBS1;GATA1
prerank,GO_Biological_Process_2021__negative regulation of T cell activation (GO:0050868),-0.6478426947081521,-2.2600542488392596,0.0,0.003270455999777425,0.02,26/41,18.26%,FOXP3;IFNL1;IL10;LAX1;PTPN22;CD80;TIGIT;VTCN1;PLA2G2D;LGALS3;VSIG4;CR1;LILRB1;CD274;FCGR2B;PDCD1LG2;SPN;NCKAP1L;RIPOR2;SFTPD;HAVCR2;TNFAIP8L2;CD86;LILRB4;LILRB2;TNFRSF21
prerank,Elsevier_Pathway_Collection__Th1-Cell Activation in Crohn's Disease,-0.6892811176642739,-2.241073440727208,0.0,0.004312689230475726,0.028,23/34,20.09%,IFNG;CD4;IL18R1;CD80;IL27;CCR5;IL18;TNFSF15;ICOS;CD3E;CD3G;RUNX3;TBX21;IL12B;LCK;CD247;LAT;CXCR3;FCER1G;IL12RB1;ZAP70;CD3D;IL12RB2
prerank,KEGG_2021_Human__Viral protein interaction with cytokine and cytokine receptor,-0.575907722135423,-2.2349788827855614,0.0,0.005206031999645698,0.032,47/90,16.17%,CXCL13;IL20RA;IL20RB;IL10;CXCL10;CXCL14;CCR9;CXCL11;TNF;IL2RB;CCL5;CXCR1;CXCR2;IL18R1;CXCL3;CCL4L2;CXCL9;IL18RAP;CCR5;XCR1;CCL4;CCL3;IL18;TNFSF10;XCL1;CCL23;CCR7;ACKR4;CXCL12;CXCL2;CCL2;IL6;CCR1;CCL3L3;XCL2;CCR2;CXCL8;CCL22;CCR4;PF4V1;CXCR3;CXCR4;LTA;TNFRSF1B;IL10RA;CXCL1;CSF1R
prerank,Reactome_2022__Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,-0.5667508586514682,-2.2236510940835976,0.0,0.005232729599643881,0.032,64/112,19.63%,CLEC1B;TREML1;TREML2;IGLL5;CD160;CD8B;CD8A;SLAMF7;CD1B;CD200R1;SH2D1A;KIR2DL3;NCR1;KLRD1;KIR3DL2;KLRC1;CRTAM;SIGLEC7;KIR2DL4;SIGLEC8;SLAMF6;SIGLEC6;CD1D;LILRA2;LILRA1;SIGLEC10;CD1E;SIGLEC11;LILRA5;NCR3;KLRF1;CD96;SIGLEC9;ICAM3;SIGLEC1;KLRB1;CD3E;CD300A;LILRB5;CD40LG;LILRB1;SH2D1B;FCGR2B;CD1C;ULBP3;LILRA6;CD247;CD226;KLRK1;CD300C;VCAM1;OSCAR;CD300E;LILRB4;ITGB2;LILRA4;LILRB2;ITGA4;CD33;CD19;JAML;KIR3DL1;SELL;CD3D
prerank,Elsevier_Pathway_Collection__Natural Killer Cell Activation through ITAM-Containing Receptors,-0.6004111810254532,-2.2223063367252998,0.0,0.004905683999666138,0.032,25/55,16.88%,IFNG;TNF;FOS;FASLG;NCR1;KLRD1;FCGR3B;MAP2K1;NCR3;PRF1;PRKCQ;FCGR3A;FYN;LCP2;LCK;CD247;LAT;SYK;LAT2;PLCG2;CSF2;FCER1G;KIR2DS4;VAV3;ZAP70
prerank,Elsevier_Pathway_Collection__B-Cell Chronic Lymphocytic Leukemia,-0.5476600537525241,-2.211151269804081,0.0,0.004617114352626953,0.032,37/90,17.09%,CXCL13;IRF4;CXCL10;DLEU7;CXCL11;TNFRSF17;FOS;CD79A;CXCL9;CCL4;CCL3;CD38;CCR7;TNFRSF13B;CXCL12;FOXO1;MS4A1;CD40LG;TCL1A;BTK;CD180;LCK;TLR4;CCL22;TLR2;AKT1;TNFSF13;SYK;VCAM1;PLCG2;MYD88;CXCR3;CXCR4;TNFSF13B;ZAP70;BCL2;ITGA4
prerank,GO_Biological_Process_2021__negative regulation of lymphocyte proliferation (GO:0050672),-0.6681052226184439,-2.204106657581476,0.0,0.004672079999682036,0.036,23/36,18.26%,FOXP3;IL10;CD80;VTCN1;PLA2G2D;VSIG4;TNFRSF13B;CTLA4;CR1;CD300A;BLK;LILRB1;CD274;MNDA;FCGR2B;PDCD1LG2;SPN;SFTPD;CD86;LILRB4;LST1;LILRB2;TNFRSF21
prerank,KEGG_2021_Human__Graft-versus-host disease,-0.6665825075309075,-2.195623660794643,0.0,0.00442618105233035,0.036,24/35,24.54%,IFNG;TNF;KIR2DL1;IL1B;KIR2DL3;FASLG;KLRD1;CD80;KIR3DL2;KLRC1;PRF1;IL6;HLA-DQA2;HLA-DOB;CD86;HLA-DQA1;GZMB;KIR3DL1;HLA-DOA;HLA-DRB5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DRB1
prerank,Elsevier_Pathway_Collection__Th1-Cell Function in Systemic Lupus Erythematosus,-0.6087524101740609,-2.194497438435296,0.0,0.004485196799694754,0.04,29/51,22.05%,IL10;IFNG;CD4;CD80;CAMK4;ICOS;MAP2K1;CD3E;CD3G;IKZF1;FYN;TBX21;IL12B;LCK;CD247;LAT;AKT1;SYK;CREM;FCER1G;IL12RB1;CD86;ZAP70;ETS1;CD3D;IL12RB2;NFATC2;JAK2;STAT1
prerank,GO_Biological_Process_2021__epoxygenase P450 pathway (GO:0019373),-0.7665542263424228,-2.177630921947308,0.0,0.005072543999654782,0.044,13/18,16.10%,CYP2C19;CYP2A7;CYP2A13;CYP2B6;CYP2C8;CYP4A11;CYP4F2;CYP1A2;CYP2C18;CYP2C9;CYP4F12;EPHX2;CYP2J2
prerank,Elsevier_Pathway_Collection__Crohn's Disease,-0.5895415055159513,-2.1770786516340443,0.0,0.004841973817852293,0.044,18/52,12.75%,IRF4;ITLN1;MUC1;IL10;TNFSF11;IFNG;CD4;TNF;IL1B;LRRK2;TLR3;TNFSF10;CASP1;NLRP3;IL6;TICAM2;TLR4;TLR2
prerank,Elsevier_Pathway_Collection__Proteins Involved in Hashimoto's Thyroiditis,-0.7565802476074381,-2.1715557790395477,0.0,0.005362735303982859,0.052,13/22,11.59%,CXCL10;PTGS2;CD1A;IFNG;CD4;TNF;CD8A;FASLG;CTLA4;TG;CD40LG;IL12B;CD1C
prerank,Elsevier_Pathway_Collection__T-Cell Cytotoxic Response against Melanocytes in Vitiligo,-0.5541576276135449,-2.1707535692696855,0.0,0.0051392879996502395,0.052,37/86,16.88%,IFNG;CD4;IL1B;IL2RB;IL18R1;CD80;IL27;IL18RAP;IL1RAP;IL18;ICOS;MAP2K1;CTLA4;MAF;PTPRC;PRKCQ;CD3E;CD3G;IL6;FYN;LCP2;CD40LG;TBX21;IL12B;CARD11;CXCL8;GATA3;LCK;CD247;LAT;AKT1;MYD88;FCER1G;IL12RB1;CD86;VAV3;ZAP70
prerank,KEGG_2021_Human__Inflammatory bowel disease,-0.5932015870777566,-2.167938826612141,0.0,0.005157976319648968,0.056,30/55,24.54%,FOXP3;IL10;IFNG;TNF;IL1B;IL18R1;IL18RAP;IL18;MAF;IL6;TBX21;IL12B;HLA-DQA2;GATA3;TLR4;TLR2;HLA-DOB;IL21R;IL12RB1;HLA-DQA1;NOD2;IL12RB2;HLA-DOA;HLA-DRB5;JUN;HLA-DRA;STAT1;HLA-DPA1;HLA-DPB1;HLA-DRB1
prerank,KEGG_2021_Human__Retinol metabolism,-0.6030819949972626,-2.1676471746947388,0.0,0.004959592615047085,0.056,27/62,13.70%,CYP26A1;UGT2A1;AWAT2;UGT1A5;CYP2A7;CYP2B6;LRAT;ADH4;CYP2C8;RDH16;ADH1A;UGT1A9;UGT2B7;CYP3A7;CYP1A2;CYP3A7-CYP3A51P;CYP2C18;CYP2C9;ADH1C;UGT2B28;UGT2B10;BCO1;CYP26B1;ADH7;HSD17B6;CYP3A4;UGT2A3
prerank,MSigDB_Hallmark_2020__Allograft Rejection,-0.5015271822928087,-2.167211251112221,0.0,0.00477590399967497,0.056,91/192,22.53%,CXCL13;IRF4;EREG;IL10;IFNG;CD4;TNF;IL1B;CFP;CD8B;CD8A;IL2RB;CCL5;INHBA;CD79A;FASLG;NCR1;KLRD1;CD80;TLR3;CRTAM;CXCL9;IL18RAP;CCR5;CCL4;IL18;IL15;GPR65;CD1D;ITK;PRKCB;CD96;FYB1;NLRP3;PTPRC;PRF1;CD3E;CD3G;CCL2;IL6;TRAT1;CCR1;LCP2;CD2;CD40LG;GCNT1;IL12B;CCR2;FCGR2B;HDAC9;MBL2;LCK;CD247;CCL22;IRF8;SRGN;TLR2;HLA-DOB;HCLS1;AKT1;IL16;FGR;CXCR3;GZMA;STAB1;IL12RB1;SPI1;CD86;ITGB2;SIT1;ACVR2A;ZAP70;LY75;HLA-DQA1;ETS1;LY86;LIF;GZMB;MAP4K1;ST8SIA4;CD7;CD3D;HLA-DOA;PF4;HLA-DRA;JAK2;CD40;STAT1;F2;ELF4;IGSF6
prerank,Reactome_2022__Aspirin ADME R-HSA-9749641,-0.6291807913313792,-2.1539763193307304,0.0,0.006207191999577562,0.076,20/41,14.15%,CYP2C19;UGT2A1;UGT1A5;GLYATL3;BCHE;GLYATL2;CYP2C8;SLC22A7;GLYAT;UGT1A9;UGT2B7;GLYATL1;CYP2C9;ALB;UGT2B28;UGT2B10;SLCO2B1;CYP3A4;UGT2A3;ACSM5
prerank,MSigDB_Hallmark_2020__Inflammatory Response,-0.4964310205954538,-2.152708386999479,0.0,0.005993150896143854,0.076,92/194,21.29%,EREG;PROK2;CSF3;MARCO;IL10;CXCL10;ITGB8;KCNMB2;CXCL11;HAS2;KCNA3;IL1B;IL2RB;RGS1;CCL5;INHBA;FPR1;CD69;IL7R;IL18R1;TLR3;ADGRE1;CSF3R;TNFAIP6;FFAR2;CXCL9;IL18RAP;IL18;CXCR6;TNFSF10;TNFSF15;IL15;CCR7;GPR183;SLC28A2;SEMA4D;CD48;LAMP3;TPBG;NLRP3;NMUR1;GCH1;CCL2;PTGER2;IL6;OSM;AXL;LCP2;CLEC5A;CYBB;IL12B;MEFV;PTGER4;CXCL8;LCK;CCL22;TNFRSF9;SLC31A1;PIK3R5;GPR132;TLR2;SELE;RASGRP1;CD82;SLC31A2;MSR1;HBEGF;STAB1;KLF6;LTA;TNFRSF1B;IL10RA;ITGB3;ACVR2A;F3;PLAUR;EBI3;GP1BA;LPAR1;PTAFR;SLAMF1;C3AR1;LIF;SELL;NOD2;MXD1;SLC4A4;CMKLR1;NMI;RNF144B;PTGIR;CD55
prerank,TRRUST_Transcription_Factors_2019__NR1I2 human,-0.7016781417318185,-2.145940563426179,0.0,0.006354028799567569,0.084,15/26,19.88%,THRSP;IL10;CYP2B6;CYP2C8;CYP2C9;CCL2;CYP4F12;ABCB1;CYP3A4;KLF6;HP;THBS1;BCL2;PTAFR;NOD2
prerank,GO_Biological_Process_2021__positive regulation of immune response (GO:0050778),-0.5824346160378299,-2.1434335639170623,0.0,0.006329914838278888,0.088,42/68,24.67%,EREG;IFNL1;IL10;IFNG;GBP5;SIGLEC16;CCL5;PCK1;FPR2;IL15;CD1D;CCR7;RSAD2;NLRP3;PTPRC;TLR8;IL12B;LILRB1;SASH3;SH2D1B;FCGR2B;SKAP1;SPHK2;CD226;IL12RB1;CD177;ITGB2;LGALS9;SLC15A4;ADAM8;NOD2;MYB;XBP1;NMI;RIOK3;CYBA;HLA-DRA;ITGAM;F2RL1;CD81;HLA-DRB1;PLSCR1
prerank,GO_Biological_Process_2021__carboxylic acid metabolic process (GO:0019752),-0.6291685933622216,-2.136948749531347,0.0,0.006657713999546902,0.092,21/38,19.22%,GNMT;GLYAT;CYP4F2;CYP1A2;CYP2C9;DAO;PLA2G4A;PON3;CYP4F3;HAO1;TBXAS1;ST6GAL1;PON1;DDO;GNE;CYP2J2;CARNMT1;PTGIS;GSTO2;AGXT;CYB5A
prerank,Elsevier_Pathway_Collection__CD4+T-Cell Response in Celiac Disease,-0.5424352030269917,-2.136715745352061,0.0,0.006455965090469724,0.092,36/86,16.88%,IFNG;CD4;IL1B;IL2RB;IL18R1;CD80;IL27;IL18RAP;IL1RAP;IL18;ICOS;MAP2K1;CTLA4;MAF;PTPRC;PRKCQ;CD3E;CD3G;IL6;FYN;LCP2;CD40LG;TBX21;IL12B;CARD11;GATA3;LCK;CD247;LAT;AKT1;MYD88;FCER1G;IL12RB1;CD86;VAV3;ZAP70
prerank,Elsevier_Pathway_Collection__Natural Killer Cell in Diabetes Mellitus Type 1,-0.5932706981521726,-2.1266184604742775,0.0,0.0070905684701056786,0.108,26/49,21.42%,IFNG;IL2RB;FOS;CD69;FASLG;NCR1;MAP2K1;PRF1;PRKCQ;FCGR3A;FYN;LCP2;CD274;PDCD1LG2;ULBP3;LAT;SYK;KLRK1;FCER1G;GZMA;VAV1;ZAP70;INPP5D;GZMB;NFATC2;JUN
prerank,Elsevier_Pathway_Collection__Goblet-Cell Related Mucus Secretion in Asthma,-0.605245275811408,-2.126552196618959,0.0,0.00688798079953123,0.108,11/44,9.58%,ERN2;IL13RA2;MUC5AC;PTGS2;AGR2;TNF;IL1B;ANO1;MAP2K1;TGFA;PTGER2
prerank,Elsevier_Pathway_Collection__B-Cell Activation in Crohn's Disease,-0.6878541831883956,-2.117053864196378,0.0,0.0074753279994912575,0.124,19/27,21.48%,IL10;CD4;CD80;MAF;CD3E;CD3G;IL6;FYN;GATA3;LCK;CD247;LAT;PLCG2;FCER1G;CD86;ZAP70;CD3D;NFATC2;JAK2
prerank,Elsevier_Pathway_Collection__CCR1 Expression Targets,-0.6870383755142692,-2.1096803041955483,0.0,0.0075763459454303295,0.128,13/26,9.92%,IL10;CXCL10;PTGS2;CXCL11;TNF;MMP1;CCL5;CXCL9;CCL4;CCL3;CCL23;CCL2;CCR1
prerank,Elsevier_Pathway_Collection__Treg-Cell Differentiation,-0.5769679574582061,-2.107862662876975,0.0,0.007672047157372607,0.136,23/55,16.88%,IRF4;FOXP3;IL10;CD4;IL2RB;CD80;ICOS;MAP2K1;CTLA4;PTPRC;PRKCQ;CD3E;CD3G;FYN;CD40LG;CARD11;LCK;CD247;LAT;AKT1;FCER1G;CD86;ZAP70
prerank,Elsevier_Pathway_Collection__Proteins Involved in Inflammatory Bowel Diseases,-0.5756913204968057,-2.104699831985168,0.0,0.008194109537903877,0.148,28/58,14.91%,TAC1;FOXP3;MUC1;IL10;CXCL10;PTGS2;IFNG;CD4;TNF;IL1B;HGF;LGALS2;IL18;TNFSF15;IL15;CTLA4;PTPRC;VNN1;CCL2;IL6;ABCB1;IL12B;NR1I2;CXCL8;TLR4;TLR2;S100A12;REEP6
prerank,GO_Biological_Process_2021__B cell proliferation (GO:0042100),-0.7448206559742613,-2.1038569519914585,0.0,0.00798925679945628,0.148,12/16,18.36%,CR2;IL10;CD79A;GAPT;PTPRC;MS4A1;CD40LG;CD180;RASGRP1;CTPS1;BCL2;CD19
prerank,Elsevier_Pathway_Collection__Natural Killer Cell Activation through ITSM-Containing Receptors,-0.653710389348671,-2.0939564261074057,0.0,0.00875160351159952,0.16,17/33,15.00%,IFNG;TNF;SLAMF7;FOS;SH2D1A;CD244;FASLG;SLAMF6;MAP2K1;CD48;PRF1;PRKCQ;FYN;SH2D1B;LAT;CSF2;VAV1
prerank,Elsevier_Pathway_Collection__Proteins Involved in B-Cell Chronic Lymphocytic Leukemia,-0.5982063399507488,-2.0832494134283106,0.0,0.009344159999364072,0.172,21/51,17.44%,CXCL13;IRF4;DLEU7;IFNG;TNF;CD38;CCR7;CXCL12;IL6;CD40LG;BCL2A1;TCL1A;CD5;AKT1;TNFSF13;SYK;CXCR4;TNFSF13B;ZAP70;BCL2;LPAR1
prerank,Elsevier_Pathway_Collection__Lymphocyte Mediated Myocardial Injury in Myocarditis,-0.5453412520510972,-2.0832035779696363,0.0,0.009126853952867234,0.172,30/68,16.88%,IRF4;FOXP3;IFNG;CD4;IL1B;CD80;IL27;IL1RAP;IL18;ICOS;PTPRC;PRKCQ;CD3E;CD3G;IL6;FYN;CD40LG;TBX21;IL12B;CARD11;LCK;CD247;LAT;IL21R;AKT1;MYD88;FCER1G;IL12RB1;CD86;ZAP70
prerank,Elsevier_Pathway_Collection__Proteins Involved in Atopic Dermatitis,-0.621768322036675,-2.0830929876473734,0.0,0.008919425453938434,0.172,24/39,15.60%,TAC1;IL10;IFNG;CD4;TNF;IL1B;CD8A;CCL5;S100A8;IL18;FCER1A;PRF1;HRH4;CTSE;CCL22;TLR2;SELE;TSLP;IL16;CAMP;CCR4;MYD88;CSF2;LTA
prerank,Reactome_2022__Interleukin-20 Family Signaling R-HSA-8854691,-0.6972219156689808,-2.0817191620104607,0.0,0.009094982399381031,0.172,4/20,1.97%,IFNL2;IL20RA;IL20RB;IFNL1
prerank,Elsevier_Pathway_Collection__CD8+ T-Cell Action Impairment in HIV Type 1 Infection,-0.6731253110373336,-2.080127086343482,0.0,0.009019145738516627,0.176,18/27,21.42%,IFNG;CD8A;FOS;FASLG;MAP2K1;PRF1;CD3E;CD3G;LCK;CD247;LAT;FCER1G;GZMA;LTA;ZAP70;GZMB;CD3D;JUN
prerank,Elsevier_Pathway_Collection__Immune System Activation in Hyperthyroidism,-0.6175552143537281,-2.0754028799551647,0.0,0.009662259063172212,0.188,21/41,16.88%,TSHR;CD4;IL2RB;CD79A;CD80;CTLA4;MAF;PRKCQ;CD3E;CD3G;FYN;CD40LG;GATA3;LCK;CD247;LAT;AKT1;SYK;FCER1G;CD86;ZAP70
prerank,Elsevier_Pathway_Collection__Th17-Cell and Th1 Immune Responsein Psoriatic Arthritis,-0.5431336272230992,-2.0740087725736904,0.0,0.009694565999340224,0.192,27/59,16.88%,IRF4;IFNG;CD4;IL1B;CD80;IL1RAP;IL18;ICOS;PTPRC;PRKCQ;CD3E;CD3G;IL6;FYN;CD40LG;IL12B;CARD11;LCK;CD247;LAT;IL21R;AKT1;MYD88;FCER1G;IL12RB1;CD86;ZAP70
prerank,GO_Biological_Process_2021__positive regulation of response to biotic stimulus (GO:0002833),-0.6116822183285804,-2.0708222930615814,0.0136986301369863,0.009725554285052401,0.192,24/40,25.15%,EREG;GBP5;SIGLEC16;ACOD1;CCL5;OASL;FPR2;CD1D;SCIMP;TLR8;SH2D1B;CD180;DDX60;SLC15A4;LY86;ADAM8;USP15;NMI;RIOK3;CYBA;DHX58;PLSCR1;LY96;SASH1
prerank,Elsevier_Pathway_Collection__T-Cell Receptor -> NF-kB Signaling,-0.6142847006759447,-2.068104208768877,0.0,0.009643173119343722,0.196,21/39,16.88%,CD4;CD80;ICOS;ITK;CTLA4;PRKCB;PRKCQ;CD3E;CD3G;FYN;LCP2;CARD11;LCK;CD247;LAT;AKT1;IL16;FCER1G;VAV1;CD86;ZAP70
prerank,KEGG_2021_Human__Cytokine-cytokine receptor interaction,-0.4588543937024087,-2.0658909414314275,0.0,0.009564022587584405,0.196,110/239,17.50%,CXCL13;IFNL2;IL20RA;IL13RA2;CSF3;IL20RB;AMHR2;IFNL1;IL10;CXCL10;EDAR;CXCL14;TNFSF11;BMP5;CCR9;CXCL11;IL5RA;IFNG;CD4;TNFRSF17;GHR;TNF;IL1B;TNFRSF11B;BMP10;IL2RB;CCL5;CXCR1;INHBE;CD27;INHBA;CXCR2;IL7R;IL18R1;FASLG;CXCL3;CSF3R;IL27;CCL4L2;CXCL9;GDF2;IL18RAP;CCR5;XCR1;CCL4;CCL3;INHBC;IL1RAP;LIFR;IL18;CXCR6;TNFSF10;TNFSF15;XCL1;IL15;GDF6;NGFR;CCL23;CCR7;TNFRSF13B;ACKR4;CTF1;CXCL12;CXCL2;IL1RL2;CCL2;ACVR1C;IL6;OSM;CCR1;CCL3L3;NGF;XCL2;IL33;CD40LG;BMP7;IL12B;IL1RN;TNFRSF11A;CCR2;CXCL8;CCL22;TNFRSF9;IL21R;TSLP;TNFSF13;IL16;CCR4;PF4V1;IL17RE;IL17RC;CXCR3;CSF2;CXCR4;TNFRSF13C;IL12RB1;LTA;TNFRSF1B;BMPR2;IL10RA;TNFSF8;CXCL1;CSF1R;ACVR2A;TNFSF13B;BMPR1B;GDF10;EBI3;TNFRSF10C;CSF2RB
prerank,Elsevier_Pathway_Collection__Myoblast -> Neutrophil Surface Expression Markers,-0.5528355977898602,-2.062859271930246,0.0,0.00959573353780849,0.2,35/57,25.96%,CEACAM6;TNFSF11;CXCR2;FCGR3B;TNFSF10;NGFR;CCR7;SIGLEC9;ICAM3;KLRB1;FCGR3A;LPAR2;CR1;TLR8;CLEC5A;CD274;FCGR2B;TLR2;CXCR4;CSF1R;TNFSF13B;LPAR1;SELPLG;ITGA3;DMD;CMKLR1;CD55;ITGAM;CD40;THBD;TLR1;CD24;CD14;S1PR3;CLEC4A
prerank,Elsevier_Pathway_Collection__non-Suppressive Treg-Cell in Diabetes Mellitus Type 1,-0.5763426214452534,-2.0588989304095606,0.0,0.00994359667856856,0.204,18/46,16.88%,FOXP3;IFNG;CD4;IL2RB;MAP2K1;CTLA4;PTPRC;PRKCQ;CD3E;CD3G;FYN;CARD11;LCK;CD247;LAT;FCER1G;CD86;ZAP70
prerank,GO_Biological_Process_2021__regulation of T cell mediated cytotoxicity (GO:0001914),-0.629666483967229,-2.054712381296468,0.0,0.010174751999307546,0.212,14/29,15.16%,RIPK3;CD1A;CD1B;KLRD1;KLRC1;XCL1;CD1D;CD1E;PTPRC;IL12B;LILRB1;CD1C;AZGP1;IL12RB1
prerank,WikiPathway_2021_Human__Kynurenine Pathway and links to Cellular Senescence WP5044,-0.6956075545786617,-2.0491713974879517,0.0,0.011111055708334733,0.244,11/22,14.24%,AADAT;KLF5;IFNG;TNF;TDO2;FOXO1;IDO2;HAAO;TLR4;KYNU;KMO
